time,dt,real_x,real_y,pred_ukf_x,pred_ukf_y,pred_ukf_v_x,pred_ukf_v_y,pred_ukf_a_x,pred_ukf_a_y,pred_ukf_theta,pred_ukf_theta_w
853.393,0.307,0.301,0.493,0.301,0.492,0.013,0.072,0.000,0.000,-0.201,-0.319,0.000
853.944,0.552,0.310,0.531,0.309,0.532,0.175,0.115,0.039,0.010,-0.706,-0.471,-0.036
854.707,0.140,0.329,0.579,0.268,0.639,-1.540,0.638,-3.079,1.448,0.887,-3.504,-14.705
855.251,0.075,0.348,0.611,0.312,0.622,-0.197,0.690,0.046,0.628,0.273,-2.702,-4.993
855.530,0.101,0.358,0.625,0.345,0.629,-0.113,0.615,0.275,0.311,0.320,-1.595,-2.146
855.630,0.100,0.362,0.630,0.357,0.629,-0.040,0.605,0.355,0.257,0.335,-1.315,-1.568
855.824,0.130,0.370,0.638,0.430,0.660,0.919,0.311,1.257,-0.021,0.929,-0.194,-0.553
856.053,0.229,0.379,0.647,0.396,0.653,0.865,0.368,0.873,0.093,0.306,-1.763,-2.172
856.514,0.461,0.398,0.664,0.401,0.656,1.211,0.421,0.847,0.086,-0.104,-1.727,-1.395
856.661,0.147,0.404,0.668,0.409,0.664,1.225,0.393,0.792,0.042,0.192,-0.764,-0.348
856.780,0.119,0.410,0.672,0.425,0.662,1.136,0.456,0.585,0.118,-0.157,-1.453,-1.079
856.902,0.122,0.415,0.675,0.417,0.674,0.951,0.449,0.464,0.058,0.364,0.141,0.619
857.127,0.225,0.425,0.681,0.433,0.682,0.871,0.439,0.327,0.058,0.531,0.497,0.768
857.281,0.154,0.432,0.684,0.441,0.679,0.733,0.582,0.100,0.173,0.271,-0.218,-0.144
857.618,0.124,0.446,0.690,0.473,0.684,0.477,0.728,-0.141,0.216,0.357,0.268,0.403
857.681,0.063,0.451,0.691,0.489,0.689,0.468,0.742,-0.141,0.216,0.374,0.293,0.403
857.858,0.087,0.458,0.693,0.463,0.688,0.195,1.050,-0.474,0.431,-0.170,-1.070,-1.149
857.922,0.064,0.462,0.695,0.465,0.687,0.158,1.058,-0.504,0.449,-0.304,-1.398,-1.484
858.047,0.125,0.468,0.696,0.476,0.657,0.095,1.114,-0.504,0.449,-0.491,-1.584,-1.484
858.169,0.122,0.474,0.697,0.473,0.693,-0.003,1.294,-0.475,0.442,-0.155,-0.450,-0.161
858.363,0.098,0.483,0.698,0.481,0.687,-0.029,1.226,-0.427,0.406,-0.412,-0.869,-0.504
858.454,0.092,0.487,0.699,0.435,0.664,-0.242,1.445,-0.601,0.489,-0.348,-0.636,-0.312
858.547,0.093,0.491,0.699,0.472,0.692,-0.076,1.464,-0.322,0.405,-0.045,0.297,0.791
