time,dt,real_x,real_y,pred_ukf_x,pred_ukf_y,pred_ukf_v_x,pred_ukf_v_y,pred_ukf_a_x,pred_ukf_a_y
8.253,0.278,0.654,0.258,0.652,0.254,-0.048,-0.075,0.000,0.000
9.029,0.090,0.611,0.211,0.609,0.203,-0.008,-0.103,0.413,-0.221
9.117,0.088,0.603,0.204,0.602,0.202,-0.054,-0.022,0.064,0.212
9.332,0.088,0.589,0.194,0.587,0.192,-0.070,-0.035,-0.008,0.073
9.456,0.124,0.580,0.189,0.580,0.187,-0.057,-0.029,0.028,0.061
9.606,0.091,0.569,0.184,0.569,0.182,-0.070,-0.026,-0.009,0.055
9.665,0.060,0.565,0.182,0.563,0.181,-0.082,-0.020,-0.044,0.070
9.814,0.032,0.553,0.177,0.552,0.174,-0.080,-0.029,-0.031,0.039
9.933,0.118,0.547,0.175,0.543,0.172,-0.081,-0.018,-0.026,0.051
10.025,0.093,0.537,0.172,0.536,0.171,-0.080,-0.013,-0.017,0.051
10.114,0.089,0.530,0.171,0.530,0.171,-0.076,-0.005,-0.002,0.055
10.368,0.127,0.510,0.168,0.508,0.169,-0.086,0.004,-0.017,0.051
10.467,0.099,0.502,0.168,0.501,0.169,-0.079,0.006,0.006,0.040
10.527,0.060,0.498,0.168,0.496,0.163,-0.076,-0.027,0.020,-0.044
10.678,0.151,0.486,0.169,0.483,0.168,-0.084,0.010,-0.013,0.046
10.916,0.037,0.470,0.171,0.465,0.172,-0.076,0.022,0.009,0.045
11.040,0.124,0.457,0.174,0.455,0.171,-0.081,0.009,-0.005,0.015
11.163,0.123,0.448,0.177,0.445,0.177,-0.083,0.031,-0.010,0.052
11.414,0.094,0.431,0.183,0.428,0.184,-0.073,0.034,0.007,0.034
11.476,0.062,0.425,0.187,0.422,0.183,-0.078,0.025,-0.008,0.017
11.570,0.094,0.418,0.190,0.415,0.188,-0.074,0.036,0.003,0.032
11.661,0.090,0.411,0.194,0.411,0.193,-0.063,0.041,0.031,0.028
11.787,0.126,0.403,0.200,0.402,0.200,-0.062,0.052,0.023,0.043
11.909,0.062,0.397,0.204,0.394,0.205,-0.066,0.056,0.006,0.046
12.003,0.095,0.389,0.211,0.387,0.210,-0.070,0.058,-0.007,0.045
12.124,0.121,0.381,0.218,0.380,0.218,-0.061,0.063,0.018,0.038
12.184,0.059,0.377,0.221,0.376,0.221,-0.064,0.064,0.008,0.039
12.347,0.164,0.368,0.231,0.366,0.233,-0.059,0.073,0.014,0.043
12.439,0.092,0.362,0.237,0.362,0.237,-0.054,0.064,0.027,0.016
12.500,0.061,0.361,0.239,0.357,0.241,-0.059,0.065,0.009,0.021
12.623,0.123,0.352,0.250,0.352,0.250,-0.047,0.069,0.034,0.017
12.745,0.122,0.346,0.258,0.345,0.258,-0.049,0.073,0.020,0.024
12.835,0.090,0.342,0.265,0.343,0.264,-0.039,0.069,0.042,0.008
12.963,0.128,0.336,0.274,0.337,0.276,-0.040,0.083,0.024,0.033
13.148,0.091,0.329,0.289,0.328,0.288,-0.042,0.077,0.016,0.014
13.211,0.063,0.326,0.294,0.325,0.295,-0.043,0.087,0.007,0.033
13.338,0.127,0.323,0.301,0.321,0.305,-0.035,0.082,0.025,0.014
13.489,0.151,0.317,0.316,0.316,0.316,-0.032,0.079,0.024,0.006
13.830,0.126,0.308,0.342,0.306,0.345,-0.024,0.091,0.023,0.026
13.915,0.085,0.305,0.352,0.305,0.352,-0.020,0.090,0.030,0.017
14.096,0.118,0.303,0.364,0.304,0.368,-0.004,0.089,0.052,0.007
14.219,0.123,0.300,0.377,0.301,0.376,-0.009,0.083,0.029,0.003
14.493,0.153,0.297,0.398,0.298,0.402,-0.009,0.096,0.015,0.021
14.672,0.085,0.296,0.415,0.296,0.416,-0.005,0.085,0.024,-0.005
14.760,0.088,0.296,0.423,0.295,0.423,-0.003,0.086,0.024,-0.003
14.849,0.090,0.295,0.428,0.295,0.430,0.001,0.080,0.028,-0.013
14.939,0.090,0.295,0.438,0.295,0.437,0.002,0.081,0.026,-0.009
15.093,0.154,0.296,0.450,0.295,0.450,0.000,0.082,0.014,-0.002
15.215,0.034,0.296,0.457,0.296,0.460,0.007,0.079,0.025,-0.009
15.305,0.090,0.297,0.467,0.297,0.468,0.013,0.081,0.033,-0.008
15.456,0.061,0.298,0.476,0.299,0.478,0.013,0.075,0.025,-0.013
15.545,0.090,0.299,0.486,0.299,0.486,0.013,0.078,0.017,-0.003
15.699,0.062,0.301,0.495,0.302,0.496,0.016,0.071,0.020,-0.014
15.818,0.120,0.303,0.506,0.303,0.504,0.016,0.070,0.015,-0.011
15.910,0.091,0.305,0.513,0.305,0.513,0.016,0.079,0.010,0.005
16.154,0.059,0.309,0.528,0.308,0.532,0.019,0.078,0.013,0.001
16.278,0.066,0.311,0.537,0.311,0.540,0.019,0.073,0.011,-0.006
16.496,0.090,0.317,0.551,0.316,0.554,0.024,0.068,0.017,-0.013
16.615,0.029,0.321,0.561,0.320,0.560,0.035,0.058,0.034,-0.030
16.796,0.181,0.326,0.572,0.326,0.571,0.035,0.057,0.023,-0.021
16.944,0.147,0.330,0.581,0.331,0.582,0.035,0.062,0.015,-0.008
17.186,0.184,0.338,0.595,0.338,0.594,0.033,0.059,0.007,-0.007
17.345,0.071,0.342,0.602,0.342,0.605,0.032,0.060,0.007,-0.006
17.649,0.127,0.353,0.618,0.352,0.616,0.036,0.041,0.011,-0.025
17.677,0.027,0.354,0.619,0.353,0.617,0.036,0.040,0.010,-0.026
17.853,0.087,0.360,0.627,0.361,0.628,0.040,0.046,0.011,-0.014
18.004,0.064,0.367,0.635,0.367,0.634,0.041,0.040,0.010,-0.018
18.093,0.089,0.371,0.639,0.369,0.637,0.037,0.041,0.002,-0.013
18.212,0.118,0.374,0.643,0.375,0.643,0.041,0.040,0.008,-0.014
18.307,0.095,0.379,0.648,0.381,0.647,0.049,0.038,0.020,-0.018
18.399,0.092,0.383,0.651,0.385,0.650,0.051,0.037,0.020,-0.018
18.486,0.087,0.387,0.655,0.387,0.654,0.044,0.039,0.006,-0.010
18.636,0.063,0.392,0.659,0.392,0.660,0.041,0.040,-0.001,-0.006
18.751,0.115,0.398,0.664,0.399,0.661,0.048,0.027,0.013,-0.024
18.899,0.056,0.403,0.667,0.404,0.665,0.043,0.026,0.004,-0.018
